name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
LONDON FOG (LARGE),5.75,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
REGULAR TEA (HOT OR ICED) (LARGE),2.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
SWISS IVORY (LARGE),5.75,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
CHAI TEA (LARGE),4.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
LATTEA (LARGE),5.25,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
DORITOS CHIPS 2.87 OZ BAG,2.29,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
KETTLE CHIPS 2 OZ BAG,2.19,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
HILLSHIRE SMALL PLATES 2.76 OZ,4.09,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
VOLPI ROLTINI CHEESE SNACK,2.09,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
LENNY & LARRY'S THE COMPLETE COOKIE 4 OZ,2.29,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
POP TARTS 2 PACK 3.3 OZ,1.64,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
TALENTI PINT - DOUBLE DARK CHOCOLATE,6.98,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
"TALENTI GELATO ROMAN RASBERRY (GF, DAIRY FREE AND VEGAN)",6.98,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
TALENTI PINT - SEA SALT CARAMEL,6.98,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
BEN AND JERRY PINT - NEW YORK SUPER FUDGE CHOCOLATE,6.95,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
BEN AND JERRY PINT - CHUNKY MONKEY,6.95,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
BEN AND JERRY PINT - TONIGHT DOUGH,6.95,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
BEN AND JERRY PINT - AMERICONE DREAM,6.95,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
BEN AND JERRY PINT - STRAWBERRY CHEESCAKE,6.95,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
BEN AND JERRY PINT - HALF BAKED,6.95,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
BEN AND JERRY PINT - CHOCOLATE CHIP COOKIE DOUGH,6.95,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
